"Path","Files","Lines"
"database/migrations/2018_01_01_000000_create_craveva_new_table.php","1","3010"
"app/Http/Controllers/ProjectController.php","1","2329"
"app/Http/Controllers/AttendanceController.php","1","2173"
"app/Models/Module.php","1","2165"
"app/Http/Controllers/InvoiceController.php","1","1857"
"app/Helper/start.php","1","1605"
"Modules/Payroll/Http/Controllers/PayrollController.php","1","1529"
"app/Http/Controllers/HomeController.php","1","1345"
"app/Http/Controllers/TaskController.php","1","1319"
"app/Http/Controllers/EmployeeController.php","1","1298"
"app/Http/Controllers/OrderController.php","1","1262"
"app/Observers/CompanyObserver.php","1","1220"
"app/Models/User.php","1","1220"
"app/Http/Controllers/TimelogController.php","1","1176"
"app/Http/Controllers/ClientController.php","1","1168"
"app/Http/Controllers/EstimateController.php","1","1118"
"app/Http/Controllers/SuperAdmin/BillingController.php","1","1071"
"routes/web.php","1","1070"
"app/Traits/EmployeeDashboard.php","1","1046"
"database/migrations/2022_10_03_080325_create_super_admin_tables_table.php","1","1023"
"app/Http/Controllers/LeaveController.php","1","1019"
"app/Http/Controllers/DealController.php","1","1018"
"database/migrations/2018_02_01_000000_create_craveva_saas_upgrade_fix_table.php","1","990"
"Modules/Performance/Http/Controllers/MeetingController.php","1","986"
"Modules/Recruit/Http/Controllers/InterviewScheduleController.php","1","983"
"Modules/Recruit/Http/Controllers/JobOfferLetterController.php","1","888"
"app/DataTables/TasksDataTable.php","1","886"
"Modules/Performance/Exports/ObjectiveMonthlyReport.php","1","848"
"app/DataTables/RecurringTasksDataTable.php","1","842"
"app/Http/Controllers/RecurringEventController.php","1","842"
"app/Http/Controllers/RecurringTaskController.php","1","838"
"app/Http/Controllers/CreditNoteController.php","1","814"
"Modules/Purchase/Http/Controllers/PurchaseProductController.php","1","804"
"app/Http/Controllers/TaskBoardController.php","1","794"
"Modules/Recruit/Http/Controllers/JobApplicationBoardController.php","1","794"
"app/Http/Controllers/EventCalendarController.php","1","792"
"Modules/Purchase/Http/Controllers/PurchaseOrderController.php","1","753"
"app/Providers/EventServiceProvider.php","1","751"
"Modules/Zoom/Http/Controllers/ZoomMeetingController.php","1","747"
"app/Http/Controllers/TicketController.php","1","745"
"app/Models/GlobalSetting.php","1","742"
"Modules/Policy/Http/Controllers/PolicyController.php","1","725"
"app/Traits/ImportExcel.php","1","723"
"Modules/Payroll/Http/Controllers/EmployeeMonthlySalaryController.php","1","723"
"app/Models/Company.php","1","716"
"Modules/Recruit/Http/Controllers/Front/FrontJobController.php","1","710"
"Modules/Purchase/Http/Controllers/PurchaseInventoryController.php","1","708"
