報價日期,報價單號,客戶代號,客戶簡稱,單據日期,客戶全名,幣別,匯率,報價金額,稅額,總數量,交貨日,業務員,課稅別,確認,客戶確認,價格條件,材積單位,付款條件代號,付款條件名稱,總毛重(Kg),總材積,品    號,品    名,規    格,數量,贈品量,單位,小單位,生效日期,失效日期,允收效期,天(月),單價,金額,分量計價,付款條件_0LD,包裝方式,包裝名稱,毛重(Kg),品號稅別,材積,應稅品未稅金額,免稅品金額, 標準價 ,價格判定
114/12/01,2122-1141202002,B6175,山摺山甜點坊,114/12/01,,NTD,1,"1,150",57.5,0,訂貨起日內,陳柏皓,應稅外加,Y,Y,,,30D,月結30天,0,0,B0199009,法國蒙太古Montaigu發酵奶油片2KG,2KG/5片/箱  成箱出貨不可零售,1,0,片,,115/01/01,,,,"1,150","1,150",N,,,,0,,0,0,0,"1,150",標準價
114/12/02,2122-1141202001,N1238,大江生醫,114/12/02,,NTD,1,305,15.25,0,訂貨起日內,廖玉媗,應稅外加,Y,Y,,,30D,月結30天,0,0,I0404043,SICOLY紅桃果泥(無加糖)1KG,1KG/6盒/箱,1,0,盒,,114/12/02,,,,305,305,N,,,,0,,0,0,0,330,特殊價
,2122-1141202003,K1299,歐樂沃築夢城堡//隨貨附發票,114/12/02,,NTD,1,"901,230","45,061.50",0,訂貨起日內,林文哲,應稅外加,Y,Y,,,30D,月結30天,0,0,F0101037,L'Opera薩瑪娜70%(鈕扣)產地巧克力5K,5KG/4包/箱,1,0,KG,,115/01/01,,,,"1,230","1,230",N,,,,0,,0,0,0,"1,250",特殊價
,,,,,,,,,,,,,,,,,,,,,,F0101037,L'Opera薩瑪娜70%(鈕扣)產地巧克力5K,5KG/4包/箱,750,0,KG,,115/01/01,,,,"1,200","1,200",Y,,,,0,,0,,,"1,250",特殊價
,2122-1141202005,C2128,路易莎職人咖啡-「烘焙一廠」甜點,114/12/02,,NTD,1,"1,600",80,0,訂貨起日內,郭家妤,應稅外加,Y,Y,,,30D,月結30天,0,0,A0101007,日清紫蘿蘭薄力粉25K,25KG/包,1,0,包,,114/12/02,,,,"1,600","1,600",N,,,,0,,0,0,0,"1,750",特殊價
,2122-1141202006,C3088,亞詮-新店點心工廠,114/12/02,,NTD,1,"4,190",209.5,0,訂貨起日內,陳盈穎,應稅外加,Y,Y,,,45D,月結45天,0,0,D0199028,東洋精糖T1上白糖30KG,30KG/包,1,0,包,,114/12/02,,,,"2,000","2,000",N,,,,0,,0,0,0,"2,000",標準價
,,,,,,,,,,,,,,,,,,,,,,D0101009,三井製糖上白糖,1KG/10包/箱,1,0,包,,114/12/02,,,,90,90,N,,,,0,,0,,,90,標準價
,,,,,,,,,,,,,,,,,,,,,,D0101014,日本三井上白糖30KG,30KG/包,1,0,包,,114/12/02,,,,"2,100","2,100",N,,,,0,,0,,,"2,100",標準價
,2122-1141202015,B5110,Curious         小小樹食,114/12/02,,NTD,1,380,19,0,訂貨起日內,陳采立,應稅外加,Y,Y,,,45D,月結45天,0,0,H0101024,加州卡美特級杏仁粒1KG,1KG,1,0,KG,,114/12/02,,,,380,380,N,,,,0,,0,0,0,390,特殊價
,2122-1141202016,B4055,小小樹食餐廳,114/12/02,,NTD,1,380,19,0,訂貨起日內,陳采立,應稅外加,Y,Y,,,45D,月結45天,0,0,H0101024,加州卡美特級杏仁粒1KG,1KG,1,0,KG,,114/12/02,,,,380,380,N,,,,0,,0,0,0,390,特殊價
