品號 | SKU,品名 | Product Name,標準售價 | Standard Price | Giá chuẩn,中盤價 | Whole sale price |  Giá sỉ,成箱價 | Price per box
9901072,NORDIA小瓷偶/普羅旺斯-品號重複(停用),0,0,0
A0101001,日清山茶花強力粉25K,"1,530","1,260",0
A0101002,日清山茶花強力粉1K,100,0,0
A0101003,日清百合花法國粉25K,"1,500","1,200",0
A0101004,日清百合花法國粉1K,0,0,0
A0101005,日清山茶花(特)強力粉25K,"1,950","1,630",0
A0101006,日清山茶花(特)強力粉1K,0,0,0
A0101007,日清紫蘿蘭薄力粉25K,"1,750","1,450",0
A0101008,日清紫蘿蘭薄力粉1K,100,0,0
A0101009,日清紫蘿蘭(特)薄力粉25K,"2,050","1,780",0
A0101010,日清紫蘿蘭(特)薄力粉1K,0,0,0
A0101011,日清SK特高筋粉25K,"2,000","1,730",0
A0101012,日清SK特高筋粉1K,0,0,0
A0101013,日清傳奇強力粉25K,"1,950","1,680",0
A0101014,日清傳奇強力粉1K,0,0,0
A0101015,日清PUR法國小麥法國粉25K,"2,650","2,380",0
A0101016,日清PUR法國小麥法國粉1K,0,0,0
A0101017,日清裸麥細挽全粒粉20K,"2,300","2,100",2300
A0101018,日清裸麥細挽全粒粉1K,250,0,0
A0101019,日清裸麥中挽全粒粉20K,"2,500",0,2500
A0101020,日清裸麥中挽全粒粉1K,0,0,0
A0101021,日清裸麥粗挽全粒粉20K,"2,500","2,300",2500
A0101022,日清裸麥粗挽全粒粉1K,250,0,0
A0101023,日清全麥粗粉25K,"2,000","1,730",0
A0101024,日清全麥粗粉1K,0,0,0
A0101025,日清純裸麥粉20K,"2,550","2,400",2550
A0101026,日清純裸麥粉1K-停用,250,0,0
A0101027,日清全麥細粉25K,"2,050","1,730",0
A0101028,日清全麥細粉1K,0,0,0
A0101029,日清超級全麥高筋粉25K,"2,350","2,000",0
A0101030,日清超級全麥高筋粉1K,0,0,0
A0101031,日清超級全麥低筋粉25K,"2,450","2,200",0
A0101032,日清超級全麥低筋粉1K,0,0,0
A0101033,日清MK專用粉25K,"2,750","2,430",0
A0101034,日清MK專用粉1K,0,0,0
A0101035,日清杜蘭小麥麵粉25K,"2,400","2,100",0
A0101036,日清杜蘭小麥麵粉1K,90,0,0
A0101037,日清特NO.1 25K,"1,950","1,580",0
A0101038,日清特NO.1 1K,0,0,0
A0101039,日清全粒粉D 25K,"2,250","2,000",0
A0101040,日清全粒粉D 1K,0,0,0
A0101041,日清海洋強力粉25K,"2,200","1,630",0
A0101042,日清海洋強力粉1K,0,0,0
A0101043,日清荒武者 25K,0,0,0
A0101044,日清荒武者 1K,0,0,0
A0101045,日清傾奇者 25K,"2,017","1,639",0
A0101046,日清傾奇者 1K,0,0,0
A0101047,日清芳醇強力粉25K,"2,400","2,080",0
A0101048,日清芳醇強力粉1K,0,0,0
A0101049,日清雪藏強力粉25K,"2,350","2,130",0
A0101050,日清雪藏強力粉1K,0,0,0
A0101051,日清真麵許皆傳25K,"2,600","2,500",2600
A0101052,日清真麵許皆傳1K,0,0,0
A0101053,日清夢飛龍25K,"2,200","2,050",2200
A0101054,日清特飛龍1K,0,0,0
A0101055,日清手打讚歌25K,"2,750","2,650",2750
A0101056,日清手打讚歌1K,0,0,0
A0101057,日清百萬強力粉25K,"2,300","2,000",2300
A0101058,日清百萬強力粉1K,0,0,0
A0101059,日清十億強力粉25K,"2,600","2,330",0
A0101060,日清十億強力粉1K,0,0,0
A0101061,日清拿坡里披薩專用粉25K,"2,850","2,480",0
A0101062,日清拿坡里披薩專用粉1K,0,0,0
A0101063,日清裸麥細挽全粒粉5K,"1,000",0,1000
A0101064,日清純裸麥粉5K,"1,000",0,1000
A0101065,日清純裸麥粉1K,250,0,0
A0101066,日清天使薄力粉25K,"2,800","2,480",0
A0101067,日清天使薄力粉1K,0,0,0
A0101068,日清生義大利麵粉25K,"2,750","2,360",2750
A0101069,日清生義大利麵粉1K,0,0,0
A0101070,日清豐韻強力粉25K,"2,550","2,230",0
A0101071,日清豐韻強力粉1K,0,0,0
A0101072,日清特飛龍25K,"2,200","2,000",2200
A0101073,日清山茶花強力粉(原裝1KG),0,100,125
A0101074,日清紫蘿蘭薄力粉(原裝1KG),0,105,130
A0101075,日清麵包專用小麥粉(原裝2KG),0,250,305
A0101076,日清製粉OG-1小麥粉,"1,750",0,0
A0101077,日清TYPE-S 25K,"2,200","1,980",0
A0101078,日清阿爾法P 25K,0,0,0
A0101079,日清薰風小麥粉 25K,"2,550","2,100",0
A0101080,日清 金子半之助專用天婦羅預拌粉(停用),"3,000","2,800",0
A0101081,日清金鈴蘭(小麥粉),"1,500",0,0
A0101082,日清阿爾法Z美味+小麥粉,"4,250","3,750",0
A0101083,日清4LCB-X麵包用預拌粉,"3,950","3,500",0
A0101084,日清春韻強力粉（原KZ-2）,"2,550","2,072",0
A0101085,日清麵無双高筋粉(小麥粉),"2,029","1,648",0
A0101086,日清阿爾法Z美味+小麥粉,200,160,0
A0101087,日清野趣小麥粉,"1,100",905,0
A0101088,日清金織強力粉,"2,600","2,200",0
A0101089,日清177甜甜圈預拌粉,"5,500","4,998",0
A0101090,日清北海道北野丸子全麥粉,"2,400","2,000",0
A0101091,日清金斗雲(小麥粉),"2,800","2,380",0
A0101092,日清和華高筋粉,"2,300","1,955",0
A0101093,日清寶雲小麥粉,"1,250","1,065",0
A0102001,昭和CDC法國麵包專用粉25K,"1,370","1,300",0
A0102002,昭和CDC法國麵包專用粉1K,0,0,0
A0102003,昭和先鋒特高筋粉25K,"1,610","1,550",0
A0102004,昭和先鋒特高筋粉1K,0,0,0
A0102005,昭和高級蛋糕粉25K,"1,450","1,350",0
A0102006,昭和高級蛋糕粉1K,0,0,0
A0102007,昭和埃及艷后蛋糕粉25K,"1,550","1,450",0
A0102008,昭和埃及艷后蛋糕粉1K,0,0,0
A0102009,昭和霓虹土司專用粉25K,"1,400","1,350",0
A0102010,昭和霓虹土司專用粉1K,0,0,0
A0102011,昭和特級霓虹25K,"1,610","1,450",0
A0102012,昭和特級霓虹1K,0,0,0
A0102013,昭和月桂冠蛋糕粉25K,"1,350","1,250",0
A0102014,昭和月桂冠蛋糕粉1K,0,0,0
A0102015,昭和白蓮日本麵用粉25K,"1,900","1,650",0
A0102016,昭和白蓮日本麵用粉1K,0,0,0
A0102017,昭和金蘭中華麵用粉25K,"1,450","1,450",0
A0102018,昭和金蘭中華麵用粉1K,0,0,0
A0102019,昭和天皇星甜麵包專用25K,"1,370","1,250",0
A0102020,昭和天皇星甜麵包專用1K,0,0,0
A0102021,昭和歐式麵包專用粉Premium F25K,"2,400","2,300",0
A0102022,昭和歐式麵包專用粉Premium F1K,0,0,0
A0102023,昭和赤霓虹25K,"1,090","1,050",0
A0102024,昭和赤霓虹1K,0,0,0
A0102025,昭和北海道100麵粉25K,"2,350","2,200",0
A0102026,昭和北海道100麵粉1K,0,0,0
A0102027,昭和加拿大小麥高筋粉25K,"1,400","1,400",0
A0102028,昭和加拿大小麥高筋粉1K,0,0,0
A0102029,昭和製麵用手打粉303-停止進貨停用,"2,000",0,0
A0102030,昭和製麵用手打粉303-停止進貨停用,875,0,0
A0102031,昭和製麵用手打粉303-停止進貨停用,0,0,0
A0102032,昭和製麵用手打粉202 25K,"3,000","2,800",0
A0102033,昭和製麵用手打粉202 10K-無此規格停用,0,0,0
A0102034,昭和製麵用手打粉202 1K,0,0,0
A0102035,昭和翔中華麵用粉25K,"1,550","1,450",0
A0102036,昭和翔中華麵用粉1K,0,0,0
A0102037,昭和麵太鼓日本麵用粉25K,0,0,0
A0102038,昭和麵太鼓日本麵用粉1K,0,0,0
A0102039,昭和星空25K,0,0,0
A0102040,昭和星空1K,0,0,0
A0102041,昭和Bruciare熱力小麥粉25K,"1,530","1,400",0
A0102042,昭和Bruciare熱力小麥粉1K,0,0,0
A0102043,昭和C Blanc菓子用小麥粉25K,"1,450",0,0
A0102044,昭和C Blanc菓子用小麥粉1K,80,0,0
A0102045,昭和Kainos(高筋)25K,"2,500","2,300",0
A0102046,昭和小麥熟麩皮Roast Fine Bran10K,"2,100","1,800",0
A0102047,昭和小麥熟麩皮Roast Fine Bran1K,0,0,0
A0102048,昭和and J 25KG,"2,200","2,100",0
A0103001,木田製粉北海道夢之力25K,"2,000","1,900",0
A0103002,木田製粉北海道夢之力 1K,120,0,0
A0103003,木田製粉Nouvelle Vague 25K,"2,330",0,0
A0103004,木田製粉Nouvelle Vague 1K,0,0,0
A0103005,木田製粉穗香法國麵包專用粉25K,"2,350",0,0
A0103006,木田製粉穗香法國麵包專用粉1K,130,0,0
A0104001,木下製粉讚岐一番粉25K,"2,550","2,380",0
A0104002,木下製粉讚岐一番粉1K,0,0,0
A0104003,木下製粉夢2000 25K,0,0,0
A0104004,木下製粉夢2000 1K,0,0,0
A0104005,木下製粉夢2000A 25K,"2,400","2,200",2400
A0104006,木下製粉夢2000A 1K,0,0,0
A0104007,木田製粉穗香法國麵包專用粉25K(品號重覆待刪除),"2,350",0,0
A0104008,木田製粉夢之力元氣25K,"2,000",0,0
A0104009,木田製粉夢之力元氣1K,0,0,0
A0104010,木田製粉夢銀樹25K,"2,250",0,0
A0104011,木田製粉夢銀樹1K,0,0,0
A0104012,木田製粉Neige(低筋)25K,"2,250",0,2250
A0104013,木下製粉Olive烏龍麵用粉25K,"2,500","2,200",2500
A0105001,大陽製粉石磨小麥粉10K,"1,250","1,063",0
A0105002,大陽製粉石磨小麥粉1KG,0,0,0
A0105003,大陽製粉博肯石臼裸麥全粒粉10KG,"1,250","1,063",0
A0105004,大陽製粉史瓦茲裸麥粉1KG,140,119,0
A0105005,大陽製粉博肯石臼裸麥全粒粉1KG,0,0,0
A0105006,大陽製粉DNS全粒粉10KG,"1,000",850,0
A0105007,大陽製粉DNS全粒粉1KG,0,0,0
A0105008,大陽製粉麥嵐綺法國粉25KG,"1,450","1,233",0
A0105009,大陽製粉麥嵐綺法國粉1KG,0,0,0
A0105010,大陽製粉麥嵐綺特高筋粉25KG,"1,480","1,258",0
A0105011,大陽製粉麥嵐綺特高筋粉1KG,0,0,0
A0105012,大陽製粉麵包職人25KG,"1,300","1,105",0
A0105013,大陽製粉麵包職人1KG,0,0,0
A0105014,大陽製粉萊茵河25KG,"1,700","1,445",0
A0105015,大陽製粉萊茵河1KG,0,0,0
A0105016,大陽製粉金龍25KG,"1,500","1,275",0
A0105017,大陽製粉金龍1KG,0,0,0
A0105018,大陽製粉中華25KG,"1,530","1,301",0
A0105019,大陽製粉中華1KG,0,0,0
A0105020,大陽製粉麵金25KG,"1,580","1,343",0
A0105021,大陽製粉麵金1KG,0,0,0
A0106001,增田製粉特寶笠薄力粉25K,"2,430","2,430",0
A0106002,增田製粉特寶笠薄力粉1K,0,0,0
A0107001,統一高筋1號22KG,710,0,0
A0107002,統一高筋1號1斤,0,0,0
A0107003,統一中筋2號22KG,680,0,0
A0107004,統一中筋2號1斤(停用),0,0,0
A0107005,統一中筋1號22KG,630,0,0
A0107006,統一中筋1號1斤,0,0,0
A0107007,統一低筋1號22KG(停售),630,0,0
A0107008,統一低筋1號1斤,0,0,0
A0107009,統一特級高筋粉22K,620,0,0
A0107010,統一特級高筋粉1斤,0,0,0
A0107011,統一勁強超級麵包粉22KG,730,0,0
A0107012,統一勁強超級麵包粉1K(停用),35,0,0
A0107013,統一油麵專用粉22K-更換品名停用,630,0,0
A0107014,統一油麵專用粉1斤-更換品名停用,0,0,0
A0107015,統一麥典QQ麵包專用粉22K,750,0,0
A0107016,統一麥典QQ麵包專用粉1斤,0,0,0
A0107017,統一油條專用粉(高筋3號)22K,720,0,0
A0107018,統一油條專用粉(高筋3號)1斤,0,0,0
A0107019,統一蛋糕專用粉22KG,630,0,0
A0107020,統一蛋糕專用粉1斤,0,0,0
A0107021,統一粉心粉特22KG(油麵專用粉)(停售),730,0,0
A0107022,統一粉心粉特1斤(油麵專用粉),0,0,0
A0107023,統一法國歐式麵包專用粉22K,0,0,0
A0107024,統一法國歐式麵包專用粉1斤,0,0,0
A0107025,統一勁Q麵條專用粉,0,0,0
A0107026,統一勁強(1號)超級麵包粉22KG,0,0,0
A0107027,【停售】統一麥典法國粉,710,0,0
A0107028,【停售】統一勁綿麵包專用粉22KG,795,0,0
A0108001,洽發松鶴高筋22K,665,0,0
A0108002,洽發松鶴高筋1K(停用),30,0,0
A0108003,洽發松鶴全麥粉22K(停售),700,0,0
A0108004,洽發松鶴全麥粉1K(停售),30,0,30
A0108005,洽發松鶴披薩專用粉(中梅)22K,570,0,0
A0108006,洽發松鶴披薩專用粉(中梅)1斤,0,0,0
A0108007,洽發松鶴紅粉心22K,645,0,0
A0108008,【停售】洽發松鶴紅粉心1K,28,0,0
A0108009,洽發松鶴綠粉心22K,645,0,0
A0108011,洽發松鶴綠粉心1斤,0,0,0
A0108012,洽發松鶴綠粉心(特1)22K,510,0,510
A0108013,洽發松鶴綠粉心(特1)1斤,0,0,0
A0108014,【停售】洽發松鶴綠粉心-1 22K,645,0,0
A0108015,洽發松鶴綠粉心-1 1斤(停用),570,0,0
A0108016,洽發松鶴麵粉(中筋)-請打A0108007,0,0,0
A0108017,洽發松鶴麵粉(中筋)-請打A0108008,85,0,0
A0108018,洽發松鶴麵粉(低筋)22KG,570,0,0
A0108019,洽發松鶴麵粉(低筋)1KG(停用),25,0,0
A0108020,【停售】洽發松鶴麵粉(低筋-梅)22KG,550,0,0
A0108021,洽發松鶴麵粉(低筋-梅)1斤,0,0,0
A0108022,洽發紫高師父超Q(中筋)22K,390,0,0
A0108023,洽發紫高師父超Q(中筋)1斤,0,0,0
A0108024,洽發超Q特高師父(中筋)22K,550,0,0
A0108025,洽發超Q特高師父(中筋)1斤,0,0,0
A0108026,洽發超Q-2高師父(中筋)22K,0,0,0
