品號 | SKU,品名 | Product Name,標準售價 | Standard Price,中盤價 | Mid-range price,成箱價 | Price per box
9901072,NORDIA小瓷偶/普羅旺斯-品號重複(停用),0,0,0
A0101001,日清山茶花強力粉25K,1530,1260,0
A0101002,日清山茶花強力粉1K,100,0,0
A0101003,日清百合花法國粉25K,1500,1200,0
A0101004,日清百合花法國粉1K,0,0,0
A0101005,日清山茶花(特)強力粉25K,1950,1630,0
A0101006,日清山茶花(特)強力粉1K,0,0,0
A0101007,日清紫蘿蘭薄力粉25K,1750,1450,0
A0101008,日清紫蘿蘭薄力粉1K,100,0,0
A0101009,日清紫蘿蘭(特)薄力粉25K,2050,1780,0
A0101010,日清紫蘿蘭(特)薄力粉1K,0,0,0
A0101011,日清SK特高筋粉25K,2000,1730,0
A0101012,日清SK特高筋粉1K,0,0,0
A0101013,日清傳奇強力粉25K,1950,1680,0
A0101014,日清傳奇強力粉1K,0,0,0
A0101015,日清PUR法國小麥法國粉25K,2650,2380,0
A0101016,日清PUR法國小麥法國粉1K,0,0,0
A0101017,日清裸麥細挽全粒粉20K,2300,2100,2300
A0101018,日清裸麥細挽全粒粉1K,250,0,0
A0101019,日清裸麥中挽全粒粉20K,2500,0,2500
A0101020,日清裸麥中挽全粒粉1K,0,0,0
A0101021,日清裸麥粗挽全粒粉20K,2500,2300,2500
A0101022,日清裸麥粗挽全粒粉1K,250,0,0
A0101023,日清全麥粗粉25K,2000,1730,0
A0101024,日清全麥粗粉1K,0,0,0
A0101025,日清純裸麥粉20K,2550,2400,2550
A0101026,日清純裸麥粉1K-停用,250,0,0
A0101027,日清全麥細粉25K,2050,1730,0
A0101028,日清全麥細粉1K,0,0,0
