出貨/銷退日(C10),客戶編號,產品料號,淨銷售量(交易),銷售淨額(本幣/未稅)
2025/04/01,A1173,A0311001,6,2400
2025/04/01,A1173,B0401006,1,750
2025/04/01,B1181,A0101003,2,3000
2025/04/01,B1181,A0102003,2,3220
2025/04/01,B1181,A0102009,2,2800
2025/04/01,B1181,A0314001,1,23
2025/04/01,B1181,L0102002,4,600
2025/04/01,B1209,A0101003,15,19650
2025/04/01,B1209,C0199019,1,1350
2025/04/01,B1209,G0601007,1,1600
2025/04/01,B1209,I0101002,1,600
2025/04/01,B1209,I0101008,2,1200
2025/04/01,B1209,I0199006,1,680
2025/04/01,B1209,I0201002,3,840
2025/04/01,B1209,I0507002,2,520
2025/04/01,B1209,J0399096,9,2610
2025/04/01,B1209,L0199008,1,1750
2025/04/01,B1209,M0401005,1,3000
2025/04/01,B1234,I0299040,2,2100
2025/04/01,B1234,R1108,0,0
2025/04/01,B1253,H0101016,2,8980
2025/04/01,B1253,H0101017,-2,-910
2025/04/01,B1253,I0299040,2,2100
2025/04/01,B1253,R1108,0,0
2025/04/01,B1301,A0101003,15,19650
2025/04/01,B1301,C0199019,1,1350
2025/04/01,B1301,I0101008,2,1200
2025/04/01,B1301,I0201002,2,560
2025/04/01,B1301,I0507002,10,2500
2025/04/01,B1301,L0199008,1,1750
2025/04/01,B1301,M0401005,1,3000
2025/04/01,B1310,B0401001,12,4320
2025/04/01,B1312,B0401001,24,8640
2025/04/01,B1312,D0101009,10,850
2025/04/01,B1312,F0101037,5,6250
2025/04/01,B1312,I0599042,2,640
2025/04/01,B1312,M0101009,1,455
2025/04/01,B1349,H0101009,4,1660
2025/04/01,B1349,H0101017,4,1820
