品號 | SKU,品名 | Product Name,規格 | Specification,庫存單位 | Inventory Units,商品級別 | Product Grade,品牌類別 | Brand Category,保存天數 | Storage Days,備貨型態 | Inventory type,儲存溫層 | Storage temperature layer,失效日期 | Expiry Date
A0101001,日清山茶花強力粉25K,25KG/包,包,S+級,日清製粉,270,常備,常溫,
A0101002,日清山茶花強力粉1K,1KG分裝,KG,S+級,日清製粉,240,常備,常溫,
A0101003,日清百合花法國粉25K,25KG/包,包,S+級,日清製粉,270,常備,常溫,
A0101005,日清山茶花(特)強力粉25K,25KG/包,包,S+級,日清製粉,180,常備,常溫,
A0101007,日清紫蘿蘭薄力粉25K,25KG/包,包,S+級,日清製粉,270,常備,常溫,
A0101008,日清紫蘿蘭薄力粉1K,1KG分裝,KG,S+級,日清製粉,270,常備,常溫,
A0101009,日清紫蘿蘭(特)薄力粉25K,25KG/包,包,S+級,日清製粉,180,常備,常溫,
A0101011,日清SK特高筋粉25K,25KG/包,包,S+級,日清製粉,180,常備,常溫,
A0101013,日清傳奇強力粉25K,25KG/包,包,S+級,日清製粉,180,常備,常溫,
A0101015,日清PUR法國小麥法國粉25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101017,日清裸麥細挽全粒粉20K,20KG/包,包,S+級,日清製粉,90,客訂,常溫,
A0101019,日清裸麥中挽全粒粉20K,20KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101021,日清裸麥粗挽全粒粉20K,20KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101023,日清全麥粗粉25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101029,日清超級全麥高筋粉25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101031,日清超級全麥低筋粉25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101032,日清超級全麥低筋粉1K,1KG分裝,KG,S+級,日清製粉,180,分裝,常溫,
A0101033,日清MK專用粉25K,25KG/包,包,S+級,日清製粉,180,常備,常溫,
A0101035,日清杜蘭小麥麵粉25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101036,日清杜蘭小麥麵粉1K,1KG分裝,KG,S+級,日清製粉,0,停售,常溫,
A0101037,日清特NO.1 25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101038,日清特NO.1 1K,1KG分裝,KG,S+級,日清製粉,180,分裝,常溫,
A0101041,日清海洋強力粉25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101044,日清荒武者 1K,1KG分裝,KG,S+級,日清製粉,180,分裝,常溫,
A0101046,日清傾奇者 1K,1KG分裝,KG,S+級,日清製粉,180,分裝,常溫,
A0101047,日清芳醇強力粉25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101048,日清芳醇強力粉1K,1KG分裝,KG,S+級,日清製粉,180,分裝,常溫,
A0101049,日清雪藏強力粉25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101052,日清真麵許皆傳1K,1KG分裝,KG,S+級,日清製粉,180,分裝,常溫,
A0101054,日清特飛龍1K,1KG分裝,KG,S+級,日清製粉,180,分裝,常溫,
A0101055,日清手打讚歌25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101056,日清手打讚歌1K,1KG分裝,KG,S+級,日清製粉,180,分裝,常溫,
A0101058,日清百萬強力粉1K,1KG分裝,KG,S+級,日清製粉,180,分裝,常溫,
A0101060,日清十億強力粉1K,1KG分裝,KG,S+級,日清製粉,180,分裝,常溫,
A0101061,日清拿坡里披薩專用粉25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101066,日清天使薄力粉25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101069,日清生義大利麵粉1K,1KG分裝,KG,S+級,日清製粉,180,分裝,常溫,
A0101070,日清豐韻強力粉25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101071,日清豐韻強力粉1K,1KG分裝,KG,S+級,日清製粉,180,分裝,常溫,
A0101079,日清薰風小麥粉 25K,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101081,日清金鈴蘭(小麥粉),25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101082,日清阿爾法Z美味+小麥粉,25KG/包,包,S+級,日清製粉,270,客訂,常溫,
A0101083,日清4LCB-X麵包用預拌粉,10KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101084,日清春韻強力粉（原KZ-2）,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101085,日清麵無双高筋粉(小麥粉),25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101086,日清阿爾法Z美味+小麥粉,1KG,KG,S+級,日清製粉,180,客訂,常溫,
A0101087,日清野趣小麥粉,10KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101088,日清金織強力粉,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101089,日清177甜甜圈預拌粉,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101090,日清北海道北野丸子全麥粉,25KG/包,包,S+級,日清製粉,180,樣品,常溫,
A0101091,日清金斗雲(小麥粉),25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101092,日清和華高筋粉,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0101093,日清寶雲小麥粉,25KG/包,包,S+級,日清製粉,180,客訂,常溫,
A0102001,昭和CDC法國麵包專用粉25K,25KG/包,包,S+級,昭和產業,180,常備,常溫,
A0102002,昭和CDC法國麵包專用粉1K,1KG分裝,KG,S+級,昭和產業,180,分裝,常溫,
A0102003,昭和先鋒特高筋粉25K,25KG/包,包,S+級,昭和產業,180,常備,常溫,
A0102004,昭和先鋒特高筋粉1K,1KG分裝,KG,S+級,昭和產業,180,分裝,常溫,
A0102005,昭和高級蛋糕粉25K,25KG/包,包,S+級,昭和產業,180,常備,常溫,
A0102006,昭和高級蛋糕粉1K,1KG分裝,KG,S+級,昭和產業,180,分裝,常溫,
A0102007,昭和埃及艷后蛋糕粉25K,25KG/包,包,S+級,昭和產業,180,常備,常溫,
A0102009,昭和霓虹土司專用粉25K,25KG/包,包,S+級,昭和產業,180,常備,常溫,
A0102010,昭和霓虹土司專用粉1K,1KG分裝,KG,S+級,昭和產業,180,分裝,常溫,
A0102011,昭和特級霓虹25K,25KG/包,包,S+級,昭和產業,180,客訂,常溫,
A0102013,昭和月桂冠蛋糕粉25K,25KG/包,包,S+級,昭和產業,180,常備,常溫,
A0102015,昭和白蓮日本麵用粉25K,25KG/包,包,S+級,昭和產業,180,常備,常溫,
A0102016,昭和白蓮日本麵用粉1K,1KG分裝,KG,S+級,昭和產業,180,分裝,常溫,
A0102017,昭和金蘭中華麵用粉25K,25KG/包,包,S+級,昭和產業,183,客訂,常溫,
A0102019,昭和天皇星甜麵包專用25K,25KG/包,包,S+級,昭和產業,180,常備,常溫,
A0102021,昭和歐式麵包專用粉Premium F25K,25KG/包,包,S+級,昭和產業,180,客訂,常溫,
A0102023,昭和赤霓虹25K,25KG/包,包,S+級,昭和產業,180,客訂,常溫,
A0102024,昭和赤霓虹1K,1KG分裝,KG,S+級,昭和產業,180,常備,常溫,
A0102025,昭和北海道100麵粉25K,25KG/包,包,S+級,昭和產業,180,客訂,常溫,
A0102027,昭和加拿大小麥高筋粉25K,25KG/包,包,S+級,昭和產業,180,常備,常溫,
A0102035,昭和翔中華麵用粉25K,25KG/包,包,S+級,昭和產業,180,客訂,常溫,
A0102036,昭和翔中華麵用粉1K,1KG分裝,KG,S+級,昭和產業,180,客訂,常溫,
A0102045,昭和Kainos(高筋)25K,,包,S+級,昭和產業,180,客訂,常溫,
A0102046,昭和小麥熟麩皮Roast Fine Bran10K,10KG/包,包,S+級,昭和產業,365,客訂,常溫,
A0102048,昭和and J 25KG,,包,S+級,昭和產業,180,客訂,常溫,
A0103001,木田製粉北海道夢之力25K,25KG/包,包,C級,木田製粉,180,客訂,常溫,
A0103002,木田製粉北海道夢之力 1K,1KG分裝,KG,C級,木田製粉,180,分裝,常溫,
A0105001,大陽製粉石磨小麥粉10K,10KG/包,包,A級,大陽製粉,180,客訂,常溫,
A0105003,大陽製粉博肯石臼裸麥全粒粉10KG,10KG/包,包,A級,大陽製粉,180,常備,常溫,
A0105004,大陽製粉史瓦茲裸麥粉1KG,1KG/16包/箱,包,A級,大陽製粉,180,常備,常溫,
A0105005,大陽製粉博肯石臼裸麥全粒粉1KG,1KG分裝,包,A級,大陽製粉,180,停售,常溫,
A0105006,大陽製粉DNS全粒粉10KG,10KG/包,包,A級,大陽製粉,180,常備,常溫,
A0105007,大陽製粉DNS全粒粉1KG,1KG分裝,包,A級,大陽製粉,180,停售,常溫,
A0105008,大陽製粉麥嵐綺法國粉25KG,25KG/包,包,A級,大陽製粉,365,常備,常溫,
A0105009,大陽製粉麥嵐綺法國粉1KG,1KG分裝,包,A級,大陽製粉,180,分裝,常溫,
A0105010,大陽製粉麥嵐綺特高筋粉25KG,25KG/包,包,A級,大陽製粉,365,常備,常溫,
A0105011,大陽製粉麥嵐綺特高筋粉1KG,1KG分裝,包,A級,大陽製粉,180,分裝,常溫,
A0105012,大陽製粉麵包職人25KG,25KG/包,包,A級,大陽製粉,365,常備,常溫,
A0105013,大陽製粉麵包職人1KG,1KG分裝,包,A級,大陽製粉,180,分裝,常溫,
A0105014,大陽製粉萊茵河25KG,25KG/包,包,A級,大陽製粉,180,常備,常溫,
A0105015,大陽製粉萊茵河1KG,1KG分裝,包,A級,大陽製粉,180,分裝,常溫,
A0105016,大陽製粉金龍25KG,25KG/包,包,A級,大陽製粉,365,客訂,常溫,
A0105017,大陽製粉金龍1KG,1KG分裝,包,A級,大陽製粉,180,分裝,常溫,
A0105018,大陽製粉中華25KG,25KG/包,包,A級,大陽製粉,365,客訂,常溫,
A0105019,大陽製粉中華1KG,1KG分裝,包,A級,大陽製粉,180,分裝,常溫,
A0105020,大陽製粉麵金25KG,25KG/包,包,A級,大陽製粉,365,客訂,常溫,
A0105021,大陽製粉麵金1KG,1KG分裝,包,A級,大陽製粉,180,分裝,常溫,
A0106001,增田製粉特寶笠薄力粉25K,25KG/包,包,C級,增田製粉,365,客訂,常溫,
A0107001,統一高筋1號22KG,22KG/包,包,,統一麵粉,90,常備,常溫,
A0107003,統一中筋2號22KG,22KG/包,包,,統一麵粉,90,常備,常溫,
A0107005,統一中筋1號22KG,22KG/包,包,,統一麵粉,90,常備,常溫,
A0107009,統一特級高筋粉22K,22KG/包,包,,統一麵粉,90,常備,常溫,
A0107011,統一勁強超級麵包粉22KG,22KG/包,包,,統一麵粉,90,常備,常溫,
A0107017,統一油條專用粉(高筋3號)22K,22KG/包,包,,統一麵粉,90,常備,常溫,
A0107019,統一蛋糕專用粉22KG,22KG/包,包,,統一麵粉,90,常備,常溫,
A0108001,洽發松鶴高筋22K,22KG/包,包,,松鶴麵粉,90,常備,常溫,
A0108007,洽發松鶴紅粉心22K,22KG/包,包,,松鶴麵粉,90,常備,常溫,
A0108009,洽發松鶴綠粉心22K,22KG/包,包,,松鶴麵粉,90,常備,常溫,
A0108018,洽發松鶴麵粉(低筋)22KG,22KG/包,包,,松鶴麵粉,90,常備,常溫,
A0108024,洽發超Q特高師父(中筋)22K,22KG/包,包,,松鶴麵粉,90,客訂,常溫,
A0108032,洽發松鶴彩虹高筋麵粉22K,22KG/包,包,,松鶴麵粉,90,常備,常溫,
A0108036,洽發紅鷹強力高筋,22KG/包,包,,松鶴麵粉,90,常備,常溫,
A0111001,布瑟T45法國小麥粉25KG,25KG/包,包,S+級,布瑟,365,常備,低溫,
A0111002,布瑟T55法國小麥粉25KG,25KG/包,包,S+級,布瑟,365,常備,低溫,
A0111005,布瑟T80石磨小麥粉25KG,25KG/包,包,S+級,布瑟,365,客訂,低溫,
A0111006,布瑟T150法國小麥全麥粉25KG,25KG/包,包,S+級,布瑟,365,常備,低溫,
A0111007,布瑟T130裸麥粉25KG,25KG/包,包,S+級,布瑟,365,客訂,低溫,
A0111008,布瑟T170裸麥粉25KG,25KG/包,包,S+級,布瑟,365,客訂,低溫,
A0111009,布瑟T85斯佩耳特20KG,20KG/包,包,S+級,布瑟,365,客訂,低溫,
A0111010,布瑟T45法國小麥粉1KG,1KG分裝,包,S+級,布瑟,365,常備,低溫,
A0111011,布瑟T55法國小麥粉1KG,1KG分裝,包,S+級,布瑟,365,常備,低溫,
A0111012,布瑟T65傳統紅標1KG,1KG分裝,包,S+級,布瑟,365,常備,低溫,
A0111013,布瑟T65法國小麥粉1KG,1KG分裝,包,S+級,布瑟,365,常備,低溫,
A0111014,布瑟T80石磨小麥粉1KG,1KG分裝,包,S+級,布瑟,365,分裝,低溫,
