出貨/銷退日(C10),客戶編號,產品料號,淨銷售量(交易),銷售淨額(本幣/未稅)
2024/01/02,A1173,A0101009,2,4100
2024/01/02,A1173,A0102009,2,2800
2024/01/02,A1173,B0401001,2,720
2024/01/02,A1173,I0101001,1,4800
2024/01/02,A1173,I0101007,1,4800
2024/01/02,A1173,I0404007,2,540
2024/01/02,A1173,I0599021,2,900
2024/01/02,A1173,I0599022,2,1100
2024/01/02,A1173,L0102003,6,1170
2024/01/02,A1174,B0401001,12,4320
2024/01/02,A1174,D0104002,20,720
2024/01/02,A1174,D0199020,1,187
2024/01/02,A1174,D0199024,1,260
2024/01/02,A1174,H0305003,5,1900
2024/01/02,A1174,R1109,0,0
2024/01/02,A1180,B0401001,4,1680
2024/01/02,A1192,I0404030,10,4500
2024/01/02,A1192,I0404037,2,580
2024/01/02,A1195,I0599002,3,1116
2024/01/02,A1195,R1108,0,0
2024/01/02,A1210,I0404007,6,1560
2024/01/02,A1210,I0404016,10,5600
2024/01/02,B1209,A0101003,8,10960
2024/01/02,B1209,C0199021,2,4200
2024/01/02,B1209,D9999005,1,840
2024/01/02,B1209,I0199006,1,600
2024/01/02,B1209,I0507002,2,520
2024/01/02,B1209,J0399049,1,760
2024/01/02,B1209,K0101035,4,620
2024/01/02,B1209,L0199008,1,1750
2024/01/02,B1223,A0101001,3,4029
2024/01/02,B1223,A0101013,1,1950
2024/01/02,B1223,A0314001,2,40
2024/01/02,B1223,A0399049,1,240
2024/01/02,B1223,B0199009,10,8400
2024/01/02,B1223,C0104028,1,1450
2024/01/02,B1223,D0103004,2,38
2024/01/02,B1223,D0206001,1,1190
2024/01/02,B1223,G0103001,1,850
2024/01/02,B1223,H0101031,3,1800
2024/01/02,B1223,H0399001,2,210
2024/01/02,B1223,I0101011,1,630
2024/01/02,B1223,I0203005,1,1400
2024/01/02,B1223,I0204011,2,276
2024/01/02,B1223,I0299040,1,1050
2024/01/02,B1223,L0102003,1,195
2024/01/02,B1223,L0102004,1,195
2024/01/02,B1223,L0203001,1,900
2024/01/02,B1223,M0101002,4,632
2024/01/02,B1223,M0101008,2,886
2024/01/02,B1223,M0101011,1,385
2024/01/02,B1223,N9901084,200,7618
2024/01/02,B1234,E0202005,10,200
2024/01/02,B1236,C0199021,5,10750
2024/01/02,B1236,J0399019,6,2340
2024/01/02,B1237,A0102001,5,6583
2024/01/02,B1253,A0102001,1,1320
2024/01/02,B1253,A0111023,1,1050
2024/01/02,B1253,B0199009,10,8000
2024/01/02,B1253,B0301026,1,585
2024/01/02,B1253,B0301027,3,1440
2024/01/02,B1253,D0206004,1,1100
2024/01/02,B1253,G0502022,8,920
2024/01/02,B1253,H0102003,1,3000
2024/01/02,B1253,H0301004,1,125
2024/01/02,B1253,I0203006,3,4200
2024/01/02,B1253,I0404006,1,290
2024/01/02,B1253,I0599019,1,450
2024/01/02,B1253,K0101035,1,155
2024/01/02,B1253,N9901030,100,1000
2024/01/02,B1253,N9901083,50,2000
2024/01/02,B1253,N9901084,50,2000
2024/01/02,B1253,N9904006,50,2000
2024/01/02,B1301,A0101003,10,13700
2024/01/02,B1301,C0199021,1,2100
2024/01/02,B1301,I0507002,2,520
2024/01/02,B1301,I0599036,2,240
2024/01/02,B1301,K0101035,1,155
2024/01/02,B1322,L0102001,-1,-130
2024/01/02,B1400,H0401022,5,4000
2024/01/02,B1400,I0201002,1,250
2024/01/02,B1400,I0299040,1,1050
2024/01/02,B1446,A0102001,1,1370
2024/01/02,B1446,A0105004,3,450
2024/01/02,B1446,H0399045,2,420
2024/01/02,B1446,I0299040,1,1100
2024/01/02,B1508,A0101001,2,3060
2024/01/02,B1517,B0401001,36,11880
2024/01/02,B1517,I0404031,8,1160
2024/01/02,B1524,A0101003,10,13500
2024/01/02,B1524,A0102003,20,30200
2024/01/02,B1524,A0102005,40,52000
2024/01/02,B1524,A0102007,8,11600
2024/01/02,B1524,A0102009,10,13000
2024/01/02,B1524,F0101030,10,6000
2024/01/02,B1524,F0101046,50,28500
2024/01/02,B1524,I0404007,240,56400
2024/01/02,B1527,A0102001,1,1370
2024/01/02,B1533,B0299004,0,0
2024/01/02,B1562,B0401001,12,4320
2024/01/02,B1569,A0102009,4,5400
2024/01/02,B1569,K0301003,3,3120
2024/01/02,B1653,A0101003,4,5480
2024/01/02,B1653,B0401001,1,360
2024/01/02,B1653,I0599036,2,240
2024/01/02,B1689,A0101001,1,1530
2024/01/02,B1689,A0101003,1,1500
2024/01/02,B1689,A0105004,2,300
2024/01/02,B1689,B0401001,12,4320
2024/01/02,B1689,N9901030,50,500
2024/01/02,B1689,N9901084,20,800
2024/01/02,B1716,A0101007,2,3500
2024/01/02,B1716,A0105006,1,1210
2024/01/02,B1716,H0101016,2,8400
2024/01/02,B1907,B0199009,5,4400
2024/01/02,B1907,I0599018,1,370
2024/01/02,B1907,I0599019,10,4000
2024/01/02,B1937,D0104002,10,320
2024/01/02,B1937,F0101001,5,3650
2024/01/02,B1937,I0102005,2,2600
2024/01/02,B1937,I0404011,3,1080
2024/01/02,B1962,L0103001,5,250
2024/01/02,B2096,B0401001,1,420
2024/01/02,B2096,G0601018,1,5200
2024/01/02,B2096,H0401034,25,18125
2024/01/02,B2096,J0101010,5,1975
2024/01/02,B2096,J0109025,2,572
2024/01/02,B2096,J0399033,20,3500
2024/01/02,B2096,J0699056,1,1178
2024/01/02,B2096,K0101178,10,5000
2024/01/02,B2213,A0311001,5,2000
2024/01/02,B2213,I0101011,2,1260
2024/01/02,B2213,I0203010,1,1400
2024/01/02,B2270,J0201007,6,1470
2024/01/02,B2270,J0299014,6,1590
2024/01/02,B2383,B0104008,1,3150
2024/01/02,B2714,A0105004,1,150
2024/01/02,B2714,B0401001,8,2880
2024/01/02,B2714,D0101010,10,670
2024/01/02,B2714,D0699002,4,840
2024/01/02,B2714,D0699004,3,180
2024/01/02,B2714,H0101035,1,1000
2024/01/02,B2714,H0301029,1,650
2024/01/02,B2714,I0399008,1,150
2024/01/02,B2714,I0404040,1,520
2024/01/02,B2714,I0502003,1,70
2024/01/02,B2714,J0501002,1,440
2024/01/02,B2746,B0104008,2,6300
2024/01/02,B2754,G0502001,1,2200
2024/01/02,B2754,G0601021,1,1600
2024/01/02,B2754,I0404007,12,3360
2024/01/02,B2754,I0404043,6,1740
2024/01/02,B2754,K0101138,4,2880
2024/01/02,B2766,B0401001,24,9120
2024/01/02,B2933,A0102005,1,1450
2024/01/02,B2933,A0111002,1,1100
2024/01/02,B2933,H0101016,1,4400
2024/01/02,B2933,H0103002,2,1500
2024/01/02,B2933,I0101001,1,5200
2024/01/02,B2933,K0101138,2,1440
2024/01/02,B2933,L0102003,2,390
2024/01/02,B2933,M0101011,3,1155
2024/01/02,B2995,A0101001,1,1530
2024/01/02,B2995,A0102001,1,1370
2024/01/02,B2995,A0102009,2,2800
2024/01/02,B2995,A0102019,2,2740
2024/01/02,B2995,A0111002,2,2200
2024/01/02,B2995,B0104002,1,6800
2024/01/02,B2995,D0101010,10,850
2024/01/02,B2995,H0104002,1,770
2024/01/02,B2995,H0109002,1,450
2024/01/02,B2995,J0201001,4,960
2024/01/02,B3047,A0102009,10,13500
2024/01/02,B3047,D0201001,1,950
2024/01/02,B3047,G0601007,1,1600
