出貨/銷退日(C10),客戶編號,產品料號,淨銷售量(交易),銷售淨額(本幣/未稅)
03/03/2025,A1173,A0101005,1,1950
03/03/2025,A1173,A0102003,1,1610
03/03/2025,A1173,I0399008,3,555
03/03/2025,A1173,N0301074,1,1500
03/03/2025,A1189,A0101001,1,1530
03/03/2025,A1189,A0399049,3,720
03/03/2025,A1189,B0904001,4,800
03/03/2025,A1189,C0199019,2,3180
03/03/2025,A1189,L0102001,1,146
03/03/2025,A1189,M0101012,4,1440
03/03/2025,A1189,R1111,0,0
03/03/2025,B1170,A0111001,2,3000
03/03/2025,B1170,C0104028,6,9426
03/03/2025,B1170,G0602068,1,700
03/03/2025,B1170,L0102003,20,3900
03/03/2025,B1218,A0101001,4,5800
03/03/2025,B1218,A0102003,8,11505
03/03/2025,B1218,A0102009,4,4990
03/03/2025,B1218,H0301029,2,1400
03/03/2025,B1218,H0399001,2,210
03/03/2025,B1218,H0399002,5,450
03/03/2025,B1218,I0203005,4,5840
03/03/2025,B1218,M0101003,72,11520
03/03/2025,B1218,M0101008,56,24808
03/03/2025,B1223,A0101013,1,1619
03/03/2025,B1223,A0101082,1,4048
03/03/2025,B1223,A0102009,3,4000
03/03/2025,B1223,A0108001,1,665
03/03/2025,B1223,A0111023,1,1300
03/03/2025,B1223,B0199009,10,8400
03/03/2025,B1223,D0601002,1,41
03/03/2025,B1223,F0102003,6,4050
03/03/2025,B1223,F0301010,1,480
03/03/2025,B1223,G0103001,1,1090
03/03/2025,B1223,G0103010,1,705
03/03/2025,B1223,I0204011,2,380
03/03/2025,B1223,I0599019,2,920
03/03/2025,B1223,J0604001,1,2500
03/03/2025,B1223,L0102003,1,180
